Frame id: 76787, timestamp: 89394284358, hands: 0, fingers: 0
Frame id: 76788, timestamp: 89394293049, hands: 0, fingers: 0
Frame id: 76789, timestamp: 89394301712, hands: 0, fingers: 0
Frame id: 76790, timestamp: 89394310377, hands: 0, fingers: 0
Frame id: 76791, timestamp: 89394319052, hands: 0, fingers: 0
Frame id: 76792, timestamp: 89394327683, hands: 0, fingers: 0
Frame id: 76793, timestamp: 89394336465, hands: 0, fingers: 0
Frame id: 76794, timestamp: 89394345172, hands: 0, fingers: 0
Frame id: 76795, timestamp: 89394353805, hands: 0, fingers: 0
Frame id: 76796, timestamp: 89394362409, hands: 0, fingers: 0
Frame id: 76797, timestamp: 89394371148, hands: 0, fingers: 0
Frame id: 76798, timestamp: 89394379789, hands: 0, fingers: 0
Frame id: 76799, timestamp: 89394388478, hands: 0, fingers: 0
Frame id: 76800, timestamp: 89394397112, hands: 0, fingers: 0
Frame id: 76801, timestamp: 89394405777, hands: 0, fingers: 0
Frame id: 76802, timestamp: 89394414446, hands: 0, fingers: 0
Frame id: 76803, timestamp: 89394423080, hands: 0, fingers: 0
Frame id: 76804, timestamp: 89394431834, hands: 0, fingers: 0
Frame id: 76805, timestamp: 89394457789, hands: 0, fingers: 0
Frame id: 76806, timestamp: 89394466473, hands: 0, fingers: 0
Frame id: 76807, timestamp: 89394475162, hands: 0, fingers: 0
Frame id: 76808, timestamp: 89394483866, hands: 0, fingers: 0
Frame id: 76809, timestamp: 89394492465, hands: 0, fingers: 0
Frame id: 76810, timestamp: 89394501184, hands: 0, fingers: 0
Frame id: 76811, timestamp: 89394509766, hands: 0, fingers: 0
Frame id: 76812, timestamp: 89394518569, hands: 0, fingers: 0
Frame id: 76813, timestamp: 89394527237, hands: 0, fingers: 0
Frame id: 76814, timestamp: 89394535913, hands: 0, fingers: 0
Frame id: 76815, timestamp: 89394544537, hands: 0, fingers: 0
Frame id: 76816, timestamp: 89394553198, hands: 0, fingers: 0
Frame id: 76817, timestamp: 89394561833, hands: 0, fingers: 0
Frame id: 76818, timestamp: 89394570639, hands: 0, fingers: 0
Frame id: 76819, timestamp: 89394579223, hands: 0, fingers: 0
Frame id: 76820, timestamp: 89394587965, hands: 0, fingers: 0
Frame id: 76821, timestamp: 89394596556, hands: 0, fingers: 0
Frame id: 76822, timestamp: 89394605235, hands: 0, fingers: 0
Frame id: 76823, timestamp: 89394613958, hands: 0, fingers: 0
Frame id: 76824, timestamp: 89394622565, hands: 0, fingers: 0
Frame id: 76825, timestamp: 89394631263, hands: 0, fingers: 0
Frame id: 76826, timestamp: 89394639950, hands: 0, fingers: 0
Frame id: 76827, timestamp: 89394648592, hands: 0, fingers: 0
Frame id: 76828, timestamp: 89394657261, hands: 0, fingers: 0
Frame id: 76829, timestamp: 89394665997, hands: 0, fingers: 0
Frame id: 76830, timestamp: 89394674607, hands: 0, fingers: 0
Frame id: 76831, timestamp: 89394683297, hands: 0, fingers: 0
Frame id: 76832, timestamp: 89394691892, hands: 0, fingers: 0
